Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,T:System.Web.UI.WebControls.DropDownList,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,P:System.Web.UI.WebControls.ListControl.SelectedValue,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,T:System.Web.UI.WebControls.TextBox,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,P:System.Web.UI.WebControls.TextBox.Text,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,T:System.Web.UI.WebControls.TextBox,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,P:System.Web.UI.WebControls.TextBox.Text,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,70,26,T:System.Web.UI.WebControls.TextBox,,,,,"int.TryParse(txtStock.Text, out stock);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,70,26,P:System.Web.UI.WebControls.TextBox.Text,,,,,"int.TryParse(txtStock.Text, out stock);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,69,27,T:System.Web.UI.WebControls.TextBox,,,,,"decimal.TryParse(txtPrice.Text, out price);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,69,27,P:System.Web.UI.WebControls.TextBox.Text,,,,,"decimal.TryParse(txtPrice.Text, out price);"
